"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018(All regions)","All regions","24-12-2018(Week: 52)","06-01-2019(Week: 01)"
"Spring holiday 2019(Vienna and Lower-Austria)","Vienna and Lower-Austria","04-02-2019(Week: 06)","09-02-2019(Week: 06)"
"Spring holiday 2019(Burgenland, Carinthia, Salzburgerland, Tyrol, Vorarlberg)","Burgenland, Carinthia, Salzburgerland, Tyrol, Vorarlberg","11-02-2019(Week: 07)","16-02-2019(Week: 07)"
"Spring holiday 2019(Upper Austria, Steiermark)","Upper Austria, Steiermark","18-02-2019(Week: 08)","23-02-2019(Week: 08)"
"Easter holidays 2019(All regions)","All regions","13-04-2019(Week: 15)","23-04-2019(Week: 17)"
"Whitsun Holiday 2019(All regions)","All regions","08-06-2019(Week: 23)","11-06-2019(Week: 24)"
"Summer holiday 2019(Burgenland, Lower Austria, Vienna)","Burgenland, Lower Austria, Vienna","29-06-2019(Week: 26)","01-09-2019(Week: 35)"
"Summer holiday 2019(Tyrol, Vorarlberg, Carinthia, Salzburgerland, Upper Austria, Steiermark)","Tyrol, Vorarlberg, Carinthia, Salzburgerland, Upper Austria, Steiermark","06-07-2019(Week: 27)","08-09-2019(Week: 36)"
"Christmas holiday 2019(All regions)","All regions","23-12-2019(Week: 52)","06-01-2020(Week: 02)"
