"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","All","24-12-2018(Week: 52)","06-01-2019(Week: 01)"
"Christmas Holidays","All","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"Spring Holidays","All","25-02-2019(Week: 09)","01-03-2019(Week: 09)"
"Easter Holidays","All","22-04-2019(Week: 17)","26-04-2019(Week: 17)"
"Summer Holidays","All","12-06-2019(Week: 24)","30-08-2019(Week: 35)"
"Autumn Holidays","All","21-10-2019(Week: 43)","25-10-2019(Week: 43)"
"Christmas Holidays","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
