"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","All","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"Mid term break 2019","All","11-02-2019(Week: 07)","13-02-2019(Week: 07)"
"Spring Holiday 2019","All","01-04-2019(Week: 14)","12-04-2019(Week: 15)"
"May Weekend 2019","All","24-05-2019(Week: 21)","27-05-2019(Week: 22)"
"Summer holiday 2019","All","01-07-2019(Week: 27)","20-08-2019(Week: 34)"
"Autumn/mid term break 2019","All","07-10-2019(Week: 41)","25-10-2019(Week: 43)"
"Christmas holiday 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
