"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","24-12-2018(Week: 52)","11-01-2019(Week: 02)"
"Easter Holidays","All","18-04-2019(Week: 16)","26-04-2019(Week: 17)"
"Summer Holidays","All","17-06-2019(Week: 25)","02-09-2019(Week: 36)"
