"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","17-12-2018(Week: 51)","02-01-2019(Week: 01)"
"Carnival Holidays","All","04-03-2019(Week: 10)","06-03-2019(Week: 10)"
"Easter Holidays","All","08-04-2019(Week: 15)","22-04-2019(Week: 17)"
"Summer Holidays (Year 9, 11 & 12)","All","05-06-2019(Week: 23)","30-11--0001(Week: 49)"
"Summer Holidays (Year 5, 6, 7, 8 & 10)","All","14-06-2019(Week: 24)","30-11--0001(Week: 49)"
"Summer Holidays (Pre-School & 1st Cycle)","All","21-06-2019(Week: 25)","30-11--0001(Week: 49)"
