"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018(All regions)","All regions","23-12-2018(Week: 51)","06-01-2019(Week: 01)"
"Easter holidays 2019(All regions)","All regions","18-04-2019(Week: 16)","24-04-2019(Week: 17)"
"Summer holiday 2019(Please pay attention, start- and end date may vary a bit per region.)","Please pay attention, start- and end date may vary a bit per region.","08-06-2019(Week: 23)","19-09-2019(Week: 38)"
"Christmas holiday 2019(All regions)","All regions","24-12-2019(Week: 52)","06-01-2020(Week: 02)"
