"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","25-12-2018(Week: 52)","02-01-2019(Week: 01)"
"Winter Holidays","All","18-02-2019(Week: 08)","22-02-2019(Week: 08)"
"Winter Holidays","All","25-02-2019(Week: 09)","01-03-2019(Week: 09)"
"School Holidays","All","29-04-2019(Week: 18)","02-05-2019(Week: 18)"
"Summer Holidays","All","26-06-2019(Week: 26)","30-08-2019(Week: 35)"
