"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","24-12-2018(Week: 52)","04-01-2019(Week: 01)"
"February Holidays","All","18-02-2019(Week: 08)","22-02-2019(Week: 08)"
"Easter Holidays","All","15-04-2019(Week: 16)","26-04-2019(Week: 17)"
"October Holidays","All","28-10-2019(Week: 44)","01-11-2019(Week: 44)"
"Christmas Holidays","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Christmas Holidays","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"February Holidays","All","17-02-2020(Week: 08)","21-02-2020(Week: 08)"
"Easter Holidays","All","06-04-2020(Week: 15)","17-04-2020(Week: 16)"
