"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","23-12-2018(Week: 51)","06-01-2019(Week: 01)"
"Easter Holidays","All","22-04-2019(Week: 17)","03-05-2019(Week: 18)"
"Summer Holidays","All","20-06-2019(Week: 25)","06-09-2019(Week: 36)"
