"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","All","22-12-2018(Week: 51)","02-01-2019(Week: 01)"
"Winter holiday 2019","All","09-02-2019(Week: 06)","24-02-2019(Week: 08)"
"Easter holidays 2019","All","13-04-2019(Week: 15)","22-04-2019(Week: 17)"
"Summer holiday 2019","All","29-06-2019(Week: 26)","11-08-2019(Week: 32)"
"Autumn holiday 2019","All","12-10-2019(Week: 41)","20-10-2019(Week: 42)"
"Christmas holiday 2019","All","21-12-2019(Week: 51)","02-01-2020(Week: 01)"
