"School-Holiday Type","Region","Start Date","End Date"
"Christmas holiday 2018","","23-12-2018(Week: 51)","01-01-2019(Week: 01)"
"Winter Holiday(Kuyavia-Pomerania, Lubusz, Lesser Poland, Holy Cross Province & Great Poland)","Kuyavia-Pomerania, Lubusz, Lesser Poland, Holy Cross Province & Great Poland","14-01-2019(Week: 03)","25-01-2019(Week: 04)"
"Winter Holiday(Podlaskie & Warmian-Masurian)","Podlaskie & Warmian-Masurian","21-01-2019(Week: 04)","01-02-2019(Week: 05)"
"Winter Holiday(Lower Silesia, Masovia, Opole & West Pomerania)","Lower Silesia, Masovia, Opole & West Pomerania","28-01-2019(Week: 05)","08-02-2019(Week: 06)"
"Winter Holiday(Lublin, Lodz, Podkarpackie, Pomerania & Silesia)","Lublin, Lodz, Podkarpackie, Pomerania & Silesia","11-02-2019(Week: 07)","22-02-2019(Week: 08)"
"Spring Holiday","","18-04-2019(Week: 16)","23-04-2019(Week: 17)"
"Summer Holiday","","21-06-2019(Week: 25)","30-08-2019(Week: 35)"
