"School-Holiday Type","Region","Start Date","End Date"
"Christmas holidays 2018","All","24-12-2018(Week: 52)","01-01-2019(Week: 01)"
"Mid term 2019","All","18-02-2019(Week: 08)","19-02-2019(Week: 08)"
"Easter holidays 2019","All","18-04-2019(Week: 16)","26-04-2019(Week: 17)"
"Summer holiday 2019","All","01-07-2019(Week: 27)","30-08-2019(Week: 35)"
"Halloween 2019","All","31-10-2019(Week: 44)","01-11-2019(Week: 44)"
"Christmas holidays 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Christmas holidays 2019","All","23-12-2019(Week: 52)","03-01-2020(Week: 01)"
"Easter holidays 2020","All","09-04-2020(Week: 15)","17-04-2020(Week: 16)"
"Summer holiday 2020","All","01-07-2020(Week: 27)","28-08-2020(Week: 35)"
