"School-Holiday Type","Region","Start Date","End Date"
"Christmas Holidays","All","22-12-2018(Week: 51)","02-01-2019(Week: 01)"
"Spring Holidays for Grade I-XI","All","30-03-2019(Week: 13)","07-04-2019(Week: 14)"
"Spring Holidays for Grade XII","All","05-04-2019(Week: 14)","07-04-2019(Week: 14)"
"End of School Year for Grade XII","All","15-05-2019(Week: 20)","30-11--0001(Week: 49)"
"End of School Year for Grade I-IV","All","31-05-2019(Week: 22)","30-11--0001(Week: 49)"
"End of School Year for Grade V-VI","All","14-06-2019(Week: 24)","30-11--0001(Week: 49)"
"End of School Year for Grade VII-XI","All","28-06-2019(Week: 26)","30-11--0001(Week: 49)"
"End of School Year for Grade V-VI (Sport","All","28-06-2019(Week: 26)","30-11--0001(Week: 49)"
